country,value,uncertainty,latitude,longitude,total,average,Access to financial assets,Access to justice,Access to land assets,Access to non-land assets,Child marriage eradication,Female genital mutilation eradication,Freedom of movement,Household responsibilities,Political voice,Violence against women eradication,Workplace rights
Denmark,61.6,0.3571428571,54.6761,-6.5683,744.2,93.025,100,86.7,,,99.9,,82.2,91.1,91.3,100,93
Norway,79.3,0.2857142857,62.9139,-9.7522,723.7,90.4625,100,88.2,,,99.9,,89.8,72.45,92,88.9,92.45
Netherlands,85.8,0.2857142857,53.2676,-14.5041,719.55,89.94375,99.5,74.1,,,99.9,,74.2,90.3,93.4,92.9,95.25
Sweden,85.5,0.2857142857,62.0293,-2.0686,710.85,88.85625,100,75.5,,,99.7,,71.4,86.5,94.7,86.9,96.15
Switzerland,73.9,0.3571428571,43.9481,-5.7474,699.05,87.38125,99,86.4,,,99.7,,86.6,63.8,87.9,85.9,89.75
Finland,62.4,0.2857142857,63.9139,4.7522,697.25,87.15625,99.1,81.9,,,99.7,,74.2,75.25,88.2,86.8,92.1
Germany,52.2,0.2857142857,53.52,-1.405,693.55,86.69375,100,68.9,,,99.7,,67.3,77.65,91.8,97.5,90.7
New_Zealand,84.5,0.2857142857,-15.0152,85.3661,687.7,85.9625,99.2,65.5,,,99.2,,51,87.65,93.5,97.1,94.55
United_Kingdom,62.7,0.3571428571,50.3498,-23.2603,684.7,85.5875,99.9,69.9,,,97,,66.4,79,91.2,87.7,93.6
Singapore,74.1,0.2857142857,0.0152,57.3661,681.8,85.225,96.9,91.4,,,99.6,,92.9,71.45,69,86.2,74.35
Canada,53.97,0.2857142857,57.4215,-72.6972,681.45,85.18125,99.5,67.8,,,98.3,,70.5,84.15,84.8,86.4,90
Spain,74.9,0.2857142857,40.5169,-17.1395,676.7,84.5875,97.5,51,,,96,,79.7,79.9,91,90.4,91.2
France,50.7,0.3571428571,43.8566,-12.3522,675.25,84.40625,100,60.2,,,97.2,,77.1,69,87.8,94.5,89.45
Austria,65.21,0.3571428571,39.7082,0.3738,661.9,82.7375,100,75.4,,,97.2,,74.2,52.8,80.2,96,86.1
Japan,57.3,0.2857142857,29.0152,78.3661,661.65,82.70625,98.8,72.4,,,99.4,,67.8,84.6,70.7,92.2,75.75
Estonia,50.7,0.2857142857,64.437,9.7535,656.9,82.1125,99.6,77,,,99.7,,77.6,76.25,62.8,82.2,81.75
United_States,65.3,0.2857142857,48.9072,-77.036,656.85,82.10625,96.8,51.2,,,97.9,,65.7,84.6,83.5,86.1,91.05
Slovenia,74.4,0.2857142857,46.8511,3.6955,655.3,81.9125,98.2,51.3,,,99.8,,80.9,76.35,80.5,82.9,85.35
Australia,54.33,0.2857142857,-13.0152,74.3661,644.6,80.575,100,51.5,,,99.4,,48,83.85,77.4,93.2,91.25
Portugal,68.3,0.3571428571,36.7169,-23.1395,631.65,78.95625,90.2,44.8,,,99.3,,77.3,53.9,83.2,97.5,85.45
Kenya,57.2,0,9.2867,6.4172,630.7,57.33636364,44.8,55.7,38.7,42.3,88,85.75,40.5,62.05,57.8,49.6,65.5
Chinese_Taipei,50.79,0.2857142857,22,74.3661,625.8,78.225,93.6,35.8,,,97.7,,85.4,84.95,77.9,80.2,70.25
Croatia,54.65,0.2857142857,39.4131,5.078,617.95,77.24375,90,23.4,,,98,,82.7,63.55,82,95.6,82.7
China,54.37,0.2857142857,29.6152,58.3661,616.85,77.10625,87.3,87.6,,,97.8,,92.1,56.85,49.6,85.4,60.2
Ethiopia,52.8,0,11,-0.74,613.2,55.74545455,29.1,56.5,40.3,49.6,82.6,57.05,47.8,46.25,59.3,86.3,58.4
Latvia,52.2,0.2857142857,58.646,9.0059,609.2,76.15,97.6,54.8,,,99.4,,75.1,53.05,59.6,98.1,71.55
Hong_Kong,59.2,0.2857142857,20.0152,67.3661,607.5,75.9375,98.2,48.4,,,99.5,,83.4,72.05,71.9,64.5,69.55
Rwanda,58.4,0.1428571429,-3.3441,6.8619,607.2,60.72,33.2,96.5,30.6,41.5,96.9,,77.5,64.7,54.3,55,57
Uruguay,66.8,0.2857142857,-15.9011,-50.1645,603,75.375,75.7,49.8,,,92.6,,43.1,68.4,88.9,97,87.5
